seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,415.69,312.43,291.4715873015873,,1500
43,277.52,19.42,75.50238095238096,,1500
44,358.15,111.73,49.46629629629629,,1500
45,497.92,376.79,348.62126984126985,,1500
46,496.34,479.06,429.0678835978836,1398,1500
47,474.1,471.35,290.88005291005294,,1500
48,500.0,500.0,500.0,1075,1500
49,413.4,150.43,137.52613756613755,,1500
50,482.57,403.8,460.3840211640212,,1500
51,466.74,447.56,363.6169312169312,,1500
52,500.0,322.2,313.0975132275132,,1500
53,253.92,115.13,155.458835978836,,1500
54,419.69,419.69,100.13179894179895,,1500
55,457.01,451.77,283.22608465608465,,1500
56,500.0,495.11,492.5189417989418,1133,1500
57,491.77,460.34,253.1920634920635,,1500
58,500.0,493.28,495.24275132275136,984,1500
59,360.65,360.65,244.8684656084656,,1500
60,500.0,455.52,491.3791005291005,,1500
61,479.52,464.22,335.8168783068783,,1500
