seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,496.42,496.07264550264546,1195,1500
43,500.0,497.83,492.14005291005293,1368,1500
44,494.87,325.24,264.5799470899471,,1500
45,497.47,135.82,180.56074074074075,,1500
46,500.0,497.5,401.50179894179894,1459,1500
47,481.48,480.19,199.96312169312168,1494,1500
48,500.0,500.0,478.76719576719574,1413,1500
49,500.0,495.81,492.5730158730159,1218,1500
50,436.08,424.42,365.47402116402117,,1500
51,500.0,485.18,469.2189947089947,1391,1500
52,500.0,420.77,497.698835978836,,1500
53,486.68,486.68,283.28502645502647,1464,1500
54,433.65,184.53,154.27809523809523,,1500
55,459.24,392.36,203.13888888888889,,1500
56,500.0,454.75,458.3332275132275,,1500
57,460.29,457.48,255.02047619047622,,1500
58,500.0,500.0,496.8615343915344,1265,1500
59,500.0,500.0,477.0494708994709,1258,1500
60,398.82,354.54,269.8735978835979,,1500
61,500.0,498.29,495.84846560846563,849,1500
