episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
0,10,10.0,0.8553208800276102,,,,,0,0,0,0
1,27,27.0,0.8356283191166786,,,,,0,0,0,0
2,11,11.0,0.8277386486361998,,,,,0,0,0,0
3,15,15.0,0.8171023878317569,,,,,0,0,0,0
4,11,11.0,0.8093912400490778,,,,,0,0,0,0
5,17,17.0,0.797619913772844,,,,,0,0,0,0
6,12,12.0,0.789416165655882,,,,,0,0,0,0
7,19,19.0,0.7766028347398298,,,,,0,0,0,0
8,14,14.0,0.7672976245202181,,,,,0,0,0,0
9,20,20.0,0.7542018290299617,,,,,0,0,0,0
10,10,10.0,0.7477398854800248,,,,,0,0,0,0
11,16,16.0,0.7375183671762531,,,,,0,0,0,0
12,17,17.0,0.7268145954711336,,,,,0,0,0,0
13,13,13.0,0.7187367588744513,,,,,0,0,0,0
14,17,17.0,0.70831195739821,,,,,0,0,0,0
15,11,11.0,0.7016491542756221,,,,,0,0,0,0
16,9,9.0,0.6962455538254355,,,,,0,0,0,0
17,31,31.0,0.6779574481136099,,,,,0,0,0,0
18,12,12.0,0.6710110873045947,,,,,0,0,0,0
19,13,13.0,0.6635682071494323,,,,,0,0,0,0
20,12,12.0,0.6567730453722912,,,,,0,0,0,0
21,11,11.0,0.6506068901900963,,,,,0,0,0,0
22,11,11.0,0.6445001543505107,,,,,0,0,0,0
23,14,14.0,0.636812979355313,,,,,0,0,0,0
24,10,10.0,0.6313798534650417,,,,,0,0,0,0
25,12,12.0,0.6249229199465569,,,,,0,0,0,0
26,11,11.0,0.6190636843048056,,,,,0,0,0,0
27,10,10.0,0.6137861165296804,,,,,0,0,0,0
28,15,15.0,0.6059563635166942,,,,,0,0,0,0
29,13,13.0,0.5992537041339812,,,,,0,0,0,0
30,11,11.0,0.5936418265109322,,,,,0,0,0,0
31,11,11.0,0.5880840270077674,,,,,0,0,0,0
32,11,11.0,0.5825797845078038,,,,,0,0,0,0
33,11,11.0,0.5771285829160312,,,,,0,0,0,0
34,10,10.0,0.5722185421503981,,,,,0,0,0,0
35,14,14.0,0.5654166951006482,,,,,0,0,0,0
36,11,11.0,0.5601308833603447,,,,,0,0,0,0
37,11,11.0,0.5548960076489742,,,,,0,0,0,0
38,15,15.0,0.5478387416347917,,,,,0,0,0,0
39,15,15.0,0.5408740488276669,,,,,0,0,0,0
40,17,17.0,0.5330911084813849,,,,,0,0,0,0
41,13,13.0,0.5272175414723909,,,,,0,0,0,0
42,10,10.0,0.5227449303348003,,,,,0,0,0,0
43,13,13.0,0.5169890866137344,,,,,0,0,0,0
44,11,11.0,0.5121699411468883,,,,,0,0,0,0
45,12,12.0,0.5069656396037228,,,,,0,0,0,0
46,25,25.0,0.4962983181620012,,,,,0,0,0,0
47,10,10.0,0.49209668883446356,,,,,0,0,0,0
48,12,12.0,0.4871033126850529,,,,,0,0,0,0
49,10,10.0,0.4829822700916184,,10.733333333333333,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,9.0|11.0|9.0|12.0|11.0|12.0|9.0|9.0|12.0|12.0|11.0|9.0|12.0|11.0|10.0|10.0|12.0|12.0|9.0|12.0|11.0|11.0|10.0|12.0|11.0|9.0|11.0|12.0|9.0|12.0,0,10.733333333333333,0,1
50,11,11.0,0.4784908268350273,,10.733333333333333,,,0,10.733333333333333,0,0
51,12,12.0,0.4736404181407624,,10.733333333333333,,,0,10.733333333333333,0,0
52,11,11.0,0.4692389964105961,,10.733333333333333,,,0,10.733333333333333,0,0
53,11,11.0,0.4648799884014643,,10.733333333333333,,,0,10.733333333333333,0,0
54,24,24.0,0.45551467473073903,,10.733333333333333,,,0,10.733333333333333,0,0
55,17,17.0,0.4489996089852938,,10.733333333333333,,,0,10.733333333333333,0,0
56,12,12.0,0.4444590876296849,,10.733333333333333,,,0,10.733333333333333,0,0
57,14,14.0,0.4392220786063642,,10.733333333333333,,,0,10.733333333333333,0,0
58,9,9.0,0.43588935178713695,,10.733333333333333,,,0,10.733333333333333,0,0
59,13,13.0,0.43112178838916804,,10.733333333333333,,,0,10.733333333333333,0,0
60,14,14.0,0.4260481388064441,,10.733333333333333,,,0,10.733333333333333,0,0
61,14,14.0,0.42103663288134285,,10.733333333333333,,,0,10.733333333333333,0,0
62,10,10.0,0.4174946109281642,,10.733333333333333,,,0,10.733333333333333,0,0
63,10,10.0,0.4139836319125939,,10.733333333333333,,,0,10.733333333333333,0,0
64,15,15.0,0.40877477440530374,,10.733333333333333,,,0,10.733333333333333,0,0
65,13,13.0,0.4043157323912647,,10.733333333333333,,,0,10.733333333333333,0,0
66,18,18.0,0.3982253127457399,,10.733333333333333,,,0,10.733333333333333,0,0
