seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,422.22,313.96,312.3195238095238,,1500
43,500.0,442.22,485.8651322751322,,1500
44,347.63,12.52,31.075343915343915,,1500
45,498.82,474.11,445.95275132275134,,1500
46,500.0,495.22,450.3773015873016,1481,1500
47,485.4,482.32,378.4561375661376,1479,1500
48,500.0,433.03,407.01751322751323,,1500
49,482.3,256.53,192.06010582010583,,1500
50,498.47,350.52,385.88365079365076,,1500
51,500.0,447.9,309.0853968253968,,1500
52,378.97,317.99,284.9780423280423,,1500
53,418.2,199.5,234.01492063492063,,1500
54,471.12,308.93,322.34391534391534,,1500
55,491.5,491.5,324.96074074074073,1487,1500
56,496.86,433.76,461.63343915343916,,1500
57,454.27,429.79,351.06370370370365,,1500
58,372.17,188.55,290.2285185185185,,1500
59,500.0,500.0,497.42402116402116,1197,1500
60,438.35,390.24,347.65592592592594,,1500
61,496.63,354.48,413.77962962962965,,1500
