spike_number,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38
1,14.0625,14.0625,21.09375,22.734375,27.052083333333336,29.18732638888889,32.28156365740741,34.44909943415638,36.92014625085734,38.96738047585162,41.075840953682956,42.96770952079064,44.83647700468883,46.57804242424427,48.27128389082195,49.878788235808216,51.43401180438823,52.92482379084556,54.36641707606215,55.75600741450529,57.10125058243165,58.402632335591626,59.66455390415787,60.88849477105408,62.07734430655513,63.232753402888655,64.35683240480898,65.45112997447805,66.51730269465665,67.55672494977486,68.57075608155311,69.56059415990052,70.5273849489825,71.4721693414119,72.39592963516586,73.29957248401416,74.18394994942503,75.0498555685543
2,39.20425871946382,39.20425871946382,50.44126272700077,51.01896958438,56.46497217533999,57.810957720872025,61.009450727477294,62.54925151741786,64.74750933184804,66.24230200169083,67.94186343696413,69.32182220140673,70.74096480039137,71.99963086078702,73.24134205078596,74.3916463572472,75.50922664656602,,,,,,,,,,,,,,,,,,,,,
3,39.83681284390079,39.83681284390079,51.39768071792171,52.05245613594939,57.69470337630301,59.133751843857205,62.46514807122873,64.09176535577744,66.38704358846914,67.95615746006797,69.72974400756532,71.17105337494357,72.647975200786,73.95636729952649,75.24359456946974,,,,,,,,,,,,,,,,,,,,,,,
4,39.96538117358048,39.96538117358048,51.66442270374521,52.371818631029534,58.11263201694843,59.612312798551436,63.01859838047,64.70221250899303,67.05725831578705,68.67666553835379,70.49934502416914,71.98397959504481,73.50185709671635,74.8472154131955,76.16888455083728,,,,,,,,,,,,,,,,,,,,,,,
5,40.48851549682145,40.48851549682145,52.352109262462264,53.07413378285325,58.89856792971254,60.42319755408315,63.87994651796897,65.58966433170838,67.97928464820984,69.62243453274056,71.47092905559705,72.97605148245148,74.51421728976158,75.87687553303283,,,,,,,,,,,,,,,,,,,,,,,,
6,40.51250651511323,40.51250651511323,52.44336652605853,53.19642100315783,59.072878707686776,60.63274556840502,64.1309409020536,65.87392619285576,68.29778347366256,69.97068276656478,71.84811855899775,73.37935048709659,74.94231510724467,76.32775249534954,,,,,,,,,,,,,,,,,,,,,,,,
7,40.779220671545275,40.779220671545275,52.79872419747777,53.56206889403999,59.485567121859944,61.06171368624573,64.58974641029792,66.34976578888958,68.79513881583381,70.48383162962551,72.37813072477587,73.92338201637023,75.50021936444332,,,,,,,,,,,,,,,,,,,,,,,,,
8,40.51899543933507,40.51899543933507,52.537803949077684,53.33462463273716,59.28166888670359,60.89131077824409,64.4471432941775,66.23752065608656,68.70994265401455,70.42571242733231,72.34491662072135,73.91426695548572,75.51359810655126,,,,,,,,,,,,,,,,,,,,,,,,,
9,40.567341438564995,40.567341438564995,52.61719489848764,53.42438437500998,59.39322562265098,61.01608403237754,64.58910059577548,66.39287346140401,68.87981586566126,70.60823669328903,72.54015868142861,74.12114925397807,75.73181670062027,,,,,,,,,,,,,,,,,,,,,,,,,
10,40.697248690563946,40.697248690563946,52.790924010804346,53.60369480536254,59.59630916645537,61.22797300859566,64.81655265199961,66.62969314793963,69.12827541428805,70.86558920217433,72.80697996962505,74.39608584415605,76.01483109340262,,,,,,,,,,,,,,,,,,,,,,,,,
