episode,episode_steps,running_avg_100,avg_loss
0,32,32.0000,0.0
1,30,31.0000,0.0
2,16,26.0000,0.524835467338562
3,13,22.7500,0.5014133751392365
4,33,24.8000,0.461915110096787
5,23,24.5000,0.4104961117972498
6,38,26.4286,0.35054427855893183
7,33,27.2500,0.27776386430769257
8,17,26.1111,0.22510898200904622
9,13,24.8000,0.20195821615365836
10,13,23.7273,0.17493517696857452
11,38,24.9167,0.13503364003018328
12,20,24.5385,0.09818577729165553
13,12,23.6429,0.08053148351609707
14,13,22.9333,0.07302055106713222
15,27,23.1875,0.06248672996406202
16,14,22.6471,0.049953551430787356
17,24,22.7222,0.04530253494158387
18,12,22.1579,0.04044017940759659
19,16,21.8500,0.03679481626022607
20,26,22.0476,0.033557094203738064
21,23,22.0909,0.028773560229202976
22,13,21.6957,0.026181210835392658
23,11,21.2500,0.02727578343315558
24,13,20.9200,0.029722093103023674
25,23,21.0000,0.02543829381465912
26,8,20.5185,0.02275327523238957
27,10,20.1429,0.025198423862457277
28,11,19.8276,0.02440728983757171
29,22,19.9000,0.031906815923073074
30,31,20.2581,0.029207868561629328
31,13,20.0312,0.02658971821746001
32,16,19.9091,0.03281990950927138
33,21,19.9412,0.032963269257119725
34,15,19.8000,0.036755851656198504
35,13,19.6111,0.04262650206398506
36,12,19.4054,0.04107326548546553
37,10,19.1579,0.03850291166454554
38,16,19.0769,0.04695644252933562
39,9,18.8250,0.04538375718726052
40,13,18.6829,0.04139522864268376
41,10,18.4762,0.04970329701900482
42,12,18.3256,0.05957695686568817
43,15,18.2500,0.05541262204448382
44,18,18.2444,0.06582793738279077
45,11,18.0870,0.06868335062807257
46,10,17.9149,0.07181893810629844
47,14,17.8333,0.054717076277094226
48,12,17.7143,0.06130715358691911
49,12,17.6000,0.06280066166073084
50,10,17.4510,0.057542909495532514
51,15,17.4038,0.061073009048899014
52,15,17.3585,0.06250512314339479
53,17,17.3519,0.07499589749118861
54,9,17.2000,0.08501082244846556
55,15,17.1607,0.07902686049540837
56,15,17.1228,0.07542297840118409
57,13,17.0517,0.0825036999124747
58,11,16.9492,0.07863842865282838
59,17,16.9500,0.09462560428416028
60,12,16.8689,0.07211355182031791
61,11,16.7742,0.10914920947768471
62,10,16.6667,0.09162312373518944
63,13,16.6094,0.08782885768092595
64,13,16.5538,0.08631003819979154
65,10,16.4545,0.09555956013500691
66,19,16.4925,0.09338521251552984
67,9,16.3824,0.09807325071758694
68,13,16.3333,0.10397596685932232
69,17,16.3429,0.10744147758711786
70,13,16.2958,0.10610787713756928
71,10,16.2083,0.11063069850206375
72,12,16.1507,0.07708395613978307
73,20,16.2027,0.09986793305724859
74,11,16.1333,0.09939507869156924
75,11,16.0658,0.13608285767788236
76,14,16.0390,0.11269220230834824
77,10,15.9615,0.08968138499185443
78,10,15.8861,0.09437927082180977
79,20,15.9375,0.11788429021835327
80,11,15.8765,0.1364676674658602
81,13,15.8415,0.12958736717700958
82,12,15.7952,0.12714011998226246
83,15,15.7857,0.12309660414854685
84,13,15.7529,0.10392829718498084
85,11,15.6977,0.10861840640956705
86,12,15.6552,0.12879594198117653
87,12,15.6136,0.11742095618198316
88,13,15.5843,0.11401497501020248
89,15,15.5778,0.1363457644979159
90,12,15.5385,0.13607509123782316
91,12,15.5000,0.12837767973542213
92,10,15.4409,0.13970988914370536
93,14,15.4255,0.14281544940812246
94,12,15.3895,0.1373504071185986
95,9,15.3229,0.15314102421204248
96,14,15.3093,0.16170107360397065
97,11,15.2653,0.12872719696976923
98,11,15.2222,0.17185852337967267
99,11,15.1800,0.16312763027169488
100,9,14.9500,0.15533138728804058
101,11,14.7600,0.14603917436166244
102,14,14.7400,0.1268433853983879
103,9,14.7000,0.19229151556889215
104,9,14.4600,0.1380621592203776
105,15,14.3800,0.12037319466471672
106,19,14.1900,0.14686065235812412
107,12,13.9800,0.14558327570557594
108,10,13.9100,0.16138248145580292
109,12,13.9000,0.16800594391922155
110,14,13.9100,0.14593042034123624
111,12,13.6500,0.12783780228346586
112,10,13.5500,0.14065708108246328
113,13,13.5600,0.17167708392326647
114,11,13.5400,0.17285998978398062
115,13,13.4000,0.17705568585258263
116,11,13.3700,0.16201345758004623
117,15,13.2800,0.15784891620278357
118,14,13.3000,0.19055757458720887
119,12,13.2600,0.1542938125009338
120,11,13.1100,0.1876458339393139
121,36,13.2400,0.17643914630429613
122,12,13.2300,0.14937398489564657
123,13,13.2500,0.19319821034486478
124,10,13.2200,0.19261736944317817
125,17,13.1600,0.2075968014405054
126,16,13.2400,0.16348865162581205
127,11,13.2500,0.18844616446982732
128,9,13.2300,0.18291524797677994
129,11,13.1200,0.1534655507315289
130,16,12.9700,0.18276449665427208
131,18,13.0200,0.19345786132746273
132,18,13.0400,0.17463483826981652
133,14,12.9700,0.18041257613471576
134,14,12.9600,0.20718418753572873
135,16,12.9900,0.15537635143846273
136,12,12.9900,0.1781037294616302
137,13,13.0200,0.20996364664572936
138,16,13.0200,0.24823046335950494
139,13,13.0600,0.1529658376597441
140,16,13.0900,0.22514398396015167
141,15,13.1400,0.18678396791219712
142,17,13.1900,0.2062186432235381
143,16,13.2000,0.17200856562703848
144,15,13.1700,0.1767880914111932
145,12,13.1800,0.20590565477808317
146,14,13.2200,0.18216197405542647
147,18,13.2600,0.18559777239958444
148,31,13.4500,0.23434273550106632
149,17,13.5000,0.20122373323230183
150,20,13.6000,0.19253085739910603
151,18,13.6300,0.22945001266068882
152,17,13.6500,0.23441545446129405
153,17,13.6500,0.1900653641890077
154,13,13.6900,0.20842616632580757
155,27,13.8100,0.2087143576807446
156,18,13.8400,0.22743763981593978
157,19,13.9000,0.2115844903807891
158,19,13.9800,0.20122458472063667
159,11,13.9200,0.2706860832192681
160,14,13.9400,0.2014965686414923
161,20,14.0300,0.2323392853140831
162,17,14.1000,0.18947492978152106
163,18,14.1500,0.2516576805048519
164,18,14.2000,0.20517942888869178
165,17,14.2700,0.23206127938978813
166,17,14.2500,0.24501809061450117
167,23,14.3900,0.2468054161771484
168,14,14.4000,0.23397269286215305
169,45,14.6800,0.24955174492465126
170,16,14.7100,0.2698774952441454
171,83,15.4400,0.26114513231329173
172,15,15.4700,0.3096256087223689
173,47,15.7400,0.2690240729679453
174,16,15.7900,0.2887459904886782
175,66,16.3400,0.2825745214341265
176,28,16.4800,0.2767615811234074
177,23,16.6100,0.27398645877838135
178,32,16.8300,0.252675658557564
179,89,17.5200,0.2702315491571855
180,84,18.2500,0.27276835147114026
181,111,19.2300,0.2831284451793443
182,26,19.3700,0.2917875722050667
183,32,19.5400,0.32023007958196104
184,58,19.9900,0.2831886526967945
185,81,20.6900,0.31909684984036435
186,130,21.8700,0.31488108915778307
187,67,22.4200,0.3108970180376252
188,100,23.2900,0.3185182663798332
189,138,24.5200,0.33929678835514665
190,88,25.2800,0.3233822187916799
191,78,25.9400,0.3614992990325659
192,150,27.3400,0.36246704945961633
193,178,28.9800,0.3970856418770351
194,214,31.0000,0.3743596152515612
195,28,31.1900,0.4217598113630499
196,121,32.2600,0.39790559615478044
197,150,33.6500,0.400045229246219
198,104,34.5800,0.420830490354162
199,105,35.5200,0.40903110809269405
200,143,36.8600,0.39551785838353887
201,128,38.0300,0.40808981691952795
202,136,39.2500,0.40607152994283857
203,172,40.8800,0.4130736478106227
204,143,42.2200,0.43309083580970764
205,158,43.6500,0.40896569583800774
206,181,45.2700,0.44981421501432334
207,209,47.2400,0.4727740911633204
208,203,49.1700,0.5066928655055943
209,182,50.8700,0.47025814885785294
210,169,52.4200,0.49714451486013345
211,190,54.2000,0.5231309103730478
212,152,55.6200,0.5254686107172778
213,191,57.4000,0.48841352199072613
214,183,59.1200,0.5441867681881769
215,177,60.7600,0.5772576021861895
216,158,62.2300,0.5715868611690365
217,191,63.9900,0.597921632113257
218,243,66.2800,0.5974589461468375
219,500,71.1600,0.5987163576334715
220,500,76.0500,0.6280197968035937
221,390,79.5900,0.6284818130043837
222,214,81.6100,0.6422312006563227
223,277,84.2500,0.6661004028165384
224,500,89.1500,0.6560037397742271
225,421,93.1900,0.6228514863023282
226,313,96.1600,0.562774594647054
227,307,99.1200,0.5507179493575997
228,461,103.6400,0.4843379178623832
229,407,107.6000,0.42947385954402884
230,349,110.9300,0.4036129311922628
231,247,113.2200,0.35668919757310197
232,194,114.9800,0.3430670111910584
233,202,116.8600,0.34463567932200906
234,355,120.2700,0.39400644298170656
235,429,124.4000,0.37238159456175246
236,183,126.1100,0.3674527365571814
237,242,128.4000,0.3495612279935317
238,217,130.4100,0.3631926214296697
239,270,132.9800,0.3979295152205008
240,198,134.8000,0.3681846205333267
241,177,136.4200,0.4056847256287343
242,202,138.2700,0.327923202020402
243,196,140.0700,0.34176708693254965
244,199,141.9100,0.3151967899508812
245,285,144.6400,0.3476233445238649
246,213,146.6300,0.3774721003334287
247,323,149.6800,0.4163274038871375
248,244,151.8100,0.3972321839728316
249,366,155.3000,0.38566670904719763
250,134,156.4400,0.3861807752678643
251,298,159.2400,0.38749397351037734
252,304,162.1100,0.42442588331668
253,146,163.4000,0.40715316846354366
254,157,164.8400,0.3617836860524621
255,147,166.0400,0.4145778547338888
256,293,168.7900,0.3908190468370711
257,156,170.1600,0.49636409832881045
258,138,171.3500,0.42579127729370975
259,423,175.4700,0.4610964704489877
260,249,177.8200,0.44841692342336875
261,170,179.3200,0.4202283917104497
262,203,181.1800,0.4371837337909661
263,249,183.4900,0.4413505763892668
264,111,184.4200,0.4125391371078319
265,127,185.5200,0.4149627264325074
266,96,186.3100,0.5529487223053972
267,124,187.3200,0.5025205762395936
268,312,190.3000,0.5522687448522984
269,165,191.5000,0.5019566949569818
270,89,192.2300,0.5469660646794887
271,124,192.6400,0.4630510128073154
272,203,194.5200,0.6026603663202577
273,121,195.2600,0.5458337413377998
274,105,196.1500,0.5401104008867628
275,81,196.3000,0.4677818695336212
276,164,197.6600,0.5421683389420916
277,158,199.0100,0.5425864158174659
278,91,199.6000,0.5717416813412866
279,164,200.3500,0.5382372535220007
280,122,200.7300,0.5298481785127374
281,114,200.7600,0.5844941969242012
282,138,201.8800,0.6001799387344415
283,115,202.7100,0.6044635383979134
284,142,203.5500,0.5029084463144692
285,139,204.1300,0.5426891927453253
