episode,episode_steps,running_avg_100,avg_loss
0,24,24.0000,0.0
1,17,20.5000,0.0
2,28,23.0000,0.6161632637182871
3,17,21.5000,0.5968203404370476
4,53,27.8000,0.5207609056301836
5,25,27.3333,0.42897156476974485
6,18,26.0000,0.3800879468520482
7,33,26.8750,0.31868062055472174
8,55,30.0000,0.21883584586056795
9,22,29.2000,0.1491628306155855
10,15,27.9091,0.12231044322252274
11,38,28.7500,0.08911478362585369
12,23,28.3077,0.06279359239598979
13,16,27.4286,0.05547783547081053
14,30,27.6000,0.04595593027770519
15,17,26.9375,0.04295066667391973
16,12,26.0588,0.040200528067847095
17,9,25.1111,0.035867517814040184
18,12,24.4211,0.03644946791852514
19,14,23.9000,0.035324253008833954
20,19,23.6667,0.03334550971263334
21,10,23.0455,0.03201809730380774
22,24,23.0870,0.032154360242808856
23,15,22.7500,0.030727946137388547
24,15,22.4400,0.026813217252492905
25,27,22.6154,0.03351034113654384
26,10,22.1481,0.03572150636464357
27,19,22.0357,0.031153304796469838
28,10,21.6207,0.03354013077914715
29,11,21.2667,0.04052645340561867
30,14,21.0323,0.051059468117143424
31,12,20.7500,0.03563249468182524
32,13,20.5152,0.04244039035760439
33,15,20.3529,0.04641691769162814
34,14,20.1714,0.036301944737455676
35,14,20.0000,0.042298865371516774
36,10,19.7297,0.04285903945565224
37,10,19.4737,0.04885459616780281
38,19,19.4615,0.0428465426360306
39,11,19.2500,0.03271758522499691
40,12,19.0732,0.05043802402603129
41,11,18.8810,0.0502376143227924
42,11,18.6977,0.06517616523937746
43,13,18.5682,0.061894710247333236
44,12,18.4222,0.05458718126950165
45,22,18.5000,0.06574699705974622
46,14,18.4043,0.06485215108841658
47,13,18.2917,0.05917845695064618
48,9,18.1020,0.06121676932606432
49,14,18.0200,0.07218523483191218
50,13,17.9216,0.07612953492655204
51,14,17.8462,0.08107038933251585
52,10,17.6981,0.06799029856920243
53,10,17.5556,0.08554851673543454
54,12,17.4545,0.07902706662813823
55,10,17.3214,0.08549831844866276
56,9,17.1754,0.06716587125427192
57,8,17.0172,0.08456966746598482
58,12,16.9322,0.07545819475005071
59,9,16.8000,0.08426840644743708
60,15,16.7705,0.09006810442854961
61,20,16.8226,0.08923814948648215
62,10,16.7143,0.12336678877472877
63,12,16.6406,0.0735894781537354
64,10,16.5385,0.08175845108926297
65,15,16.5152,0.10852560847997665
66,10,16.4179,0.10450164563953876
67,11,16.3382,0.1075898486782204
68,16,16.3333,0.10357225709594786
69,10,16.2429,0.12253303676843644
70,12,16.1831,0.1139116349319617
71,9,16.0833,0.13162497927745184
72,13,16.0411,0.11168061884549949
73,11,15.9730,0.09453956952149217
74,11,15.9067,0.11132060567086394
75,11,15.8421,0.12169208513064818
76,22,15.9221,0.11175485056909648
77,9,15.8333,0.13219527362121475
78,9,15.7468,0.1139611622525586
79,9,15.6625,0.1235183978246318
80,11,15.6049,0.11674351279031146
81,10,15.5366,0.11072871275246143
82,12,15.4940,0.12370134486506383
83,8,15.4048,0.10302696190774441
84,13,15.3765,0.13306624900836211
85,10,15.3140,0.1085215637460351
86,12,15.2759,0.0995103856548667
87,11,15.2273,0.1464975814927708
88,9,15.1573,0.14546208166413838
89,11,15.1111,0.13319181142882866
90,11,15.0659,0.13572946055368942
91,9,15.0000,0.12812668416235182
92,14,14.9892,0.1487379249717508
93,10,14.9362,0.15432579182088374
94,9,14.8737,0.09654152558909522
95,12,14.8438,0.17468729180594286
96,11,14.8041,0.18619777736338702
97,11,14.7653,0.15185784819451245
98,10,14.7172,0.17573958188295363
99,13,14.7000,0.13526632292912558
100,10,14.5600,0.14578393585979937
101,10,14.4900,0.14488083869218826
102,11,14.3200,0.15027133646336469
103,9,14.2400,0.15081188331047693
104,14,13.8500,0.1523659255887781
105,12,13.7200,0.19996534629414478
106,10,13.6400,0.16020079478621482
107,10,13.4100,0.17335450053215026
108,11,12.9700,0.1807545108551329
109,9,12.8400,0.21111784709824455
110,9,12.7800,0.17621609879036745
111,9,12.4900,0.1682978793978691
112,16,12.4200,0.1620481323916465
