spike_number,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,step_27,step_28,step_29,step_30,step_31,step_32,step_33,step_34,step_35,step_36,step_37,step_38,step_39,step_40,step_41,step_42,step_43,step_44,step_45,step_46,step_47,step_48,step_49
11,38.08494204130436,38.08494204130436,48.48427837027819,48.721584764376566,53.50864980268958,54.392176936955735,57.00603668573028,58.039424635596625,59.685380865802145,60.66008972671136,61.82350837971158,62.681753048825854,63.57486263932528,64.31510451011434,65.03874185487923,65.6760082441107,66.28279212886792,67.09748047234362,67.72592423339867,68.43960314665674,69.03547133617636,69.65719229658157,70.20556692280901,70.75165096259536,71.24951705015575,71.7332729959,72.18272669887676,72.61416517982204,73.01929135308416,73.4060472644764,73.7714313358264,74.11952791376544,74.44959946542482,74.76393971315943,75.06272391279705,,,,,,,,,,,,,,
12,38.084942041293075,38.084942041293075,48.48427837026511,48.72158476436413,53.50864980267688,54.392176936943656,57.00603668571842,58.03942463558535,59.68538086579128,60.66008972670104,61.82350837970172,62.68175304881652,63.574862639316414,64.315104510106,65.03874185487132,65.67600824410327,66.28279212886088,67.09748047233693,67.7259242333923,68.4396031466507,69.0354713361706,69.65719229657611,70.2055669228038,70.75165096259042,71.24951705015104,71.73327299589553,72.18272669887253,72.61416517981802,73.01929135308032,73.40604726447276,73.77143133582294,74.11952791376214,74.4495994654217,74.76393971315647,75.06272391279427,,,,,,,,,,,,,,
13,38.08494204129195,38.08494204129195,48.48427837026381,48.721584764362895,53.508649802675606,54.39217693694246,57.00603668571725,58.03942463558423,59.685380865790215,60.660089726700015,61.82350837970079,62.6817530488156,63.57486263931557,64.31510451010516,65.03874185487055,65.67600824410253,66.28279212886022,67.09748047233627,67.7259242333917,68.43960314665011,69.03547133617005,69.65719229657559,70.20556692280331,70.75165096258995,71.24951705015062,71.7332729958951,72.18272669887213,72.61416517981763,73.01929135307995,73.40604726447242,73.77143133582261,74.11952791376183,74.44959946542141,74.76393971315619,75.06272391279398,,,,,,,,,,,,,,
14,38.08494204129185,38.08494204129185,48.484278370263674,48.721584764362795,53.508649802675485,54.39217693694235,57.00603668571713,58.03942463558411,59.685380865790094,60.6600897266999,61.823508379700655,62.681753048815494,63.574862639315455,64.31510451010507,65.03874185487047,65.67600824410245,66.28279212886014,67.09748047233619,67.72592423339162,68.43960314665004,69.03547133616999,69.65719229657552,70.20556692280326,70.75165096258988,71.24951705015056,71.73327299589505,72.18272669887207,72.61416517981759,73.01929135307992,73.40604726447238,73.7714313358226,74.1195279137618,74.4495994654214,74.76393971315616,75.06272391279396,,,,,,,,,,,,,,
15,38.08494204129183,38.08494204129183,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
16,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
17,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
18,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
19,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
20,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
21,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
22,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
23,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
24,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
25,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
26,38.084942041291825,38.084942041291825,48.48427837026365,48.72158476436276,53.508649802675464,54.39217693694233,57.00603668571711,58.0394246355841,59.68538086579008,60.660089726699894,61.82350837970065,62.68175304881548,63.57486263931545,64.31510451010507,65.03874185487047,65.67600824410243,66.28279212886014,67.09748047233617,67.72592423339162,68.43960314665001,69.03547133616998,69.65719229657549,70.20556692280326,70.75165096258986,71.24951705015056,71.73327299589504,72.18272669887207,72.61416517981758,73.01929135307991,73.40604726447238,73.77143133582258,74.11952791376179,74.44959946542139,74.76393971315615,75.06272391279394,,,,,,,,,,,,,,
