episode,episode_steps,running_avg_100,avg_loss
0,17,17.0000,0.0
1,36,26.5000,0.0
2,28,27.0000,0.0
3,31,28.0000,0.0
4,20,26.4000,0.0
5,14,24.3333,0.0
6,17,23.2857,0.0
7,24,23.3750,0.0
8,15,22.4444,0.0
9,36,23.8000,0.0
10,17,23.1818,0.0
11,11,22.1667,0.6219615556977012
12,14,21.5385,0.4729949129479272
13,14,21.0000,0.32064937906605856
14,27,21.4000,0.15699668201031508
15,14,20.9375,0.0601261489625488
16,12,20.4118,0.03264105956380566
17,10,19.8333,0.022430286929011344
18,25,20.1053,0.01788560040295124
19,12,19.7000,0.015068989324693879
20,18,19.6190,0.014507730025798082
21,20,19.6364,0.014307186799123883
22,22,19.7391,0.013356815769591114
23,75,22.0417,0.012112753279507161
24,16,21.8000,0.011682010430376977
25,13,21.4615,0.012146924013415208
26,14,21.1852,0.011918335886938232
27,13,20.8929,0.012103487450916033
28,14,20.6552,0.01351822360551783
29,19,20.6000,0.013965917015938382
30,13,20.3548,0.014497110548500832
31,17,20.2500,0.01431110775207772
32,17,20.1515,0.015957923112984967
33,17,20.0588,0.016084502177203402
34,19,20.0286,0.01780704948070802
35,29,20.2778,0.016829683862883468
36,12,20.0541,0.017419024913882215
37,17,19.9737,0.018346727168297067
38,40,20.4872,0.02047756500542164
39,12,20.2750,0.023934887411693733
40,23,20.3415,0.020795461762210598
41,15,20.2143,0.024872804805636407
42,11,20.0000,0.02405552752315998
43,21,20.0227,0.026483993799913497
44,32,20.2889,0.025527655001496896
45,10,20.0652,0.028733391873538495
46,32,20.3191,0.028339386801235378
47,16,20.2292,0.030485520139336586
48,26,20.3469,0.028906480480845157
49,13,20.2000,0.032658711505623966
50,19,20.1765,0.0344795829763538
51,21,20.1923,0.031866873658838724
52,31,20.3962,0.03437114218550344
53,17,20.3333,0.03583568060661063
54,9,20.1273,0.03170789757536517
55,39,20.4643,0.036307806531206153
56,31,20.6491,0.03890077421261418
57,27,20.7586,0.035554660967102754
58,20,20.7458,0.03662376804277301
59,13,20.6167,0.04102340197333923
60,21,20.6230,0.03689954988658428
61,12,20.4839,0.037917206063866615
62,38,20.7619,0.04000640488964947
63,15,20.6719,0.04080253839492798
64,25,20.7385,0.04770703986287117
65,40,21.0303,0.04642846616916359
66,29,21.1493,0.04863808008617368
67,11,21.0000,0.0483428073877638
68,20,20.9855,0.04705341327935457
69,14,20.8857,0.05014959749366556
70,18,20.8451,0.04319843018634452
71,56,21.3333,0.04869275227455156
72,41,21.6027,0.052181479407519826
73,21,21.5946,0.04984499212531816
74,15,21.5067,0.0579801194369793
75,18,21.4605,0.055378068445457354
76,21,21.4545,0.049237370757119994
77,17,21.3974,0.05121122377322001
78,29,21.4937,0.051624732734314324
79,33,21.6375,0.052818537379304566
80,12,21.5185,0.04984201459834973
81,63,22.0244,0.054574676212810334
82,12,21.9036,0.06466312458117802
83,24,21.9286,0.05293882048378388
84,18,21.8824,0.0608518071886566
85,21,21.8721,0.06482196865337235
86,16,21.8046,0.05798959173262119
87,29,21.8864,0.0601176588057444
88,114,22.9213,0.0608116749249268
89,68,23.4222,0.0632821833167006
