config,profile,neuron_type,display_label,slice_luts,lut_as_logic,lut_as_memory,slice_registers,dsp,bram_tiles,carry4,f7_muxes,f8_muxes,wns_ns,tns_ns,whs_ns,clock_period_ns,fmax_est_mhz,power_total_w,power_dynamic_w,power_static_w,junction_temp_c,power_confidence,total_cycles,cycles_idle,cycles_load_hl1,cycles_run_timesteps,cycles_finish_q,cycles_done_state,cycles_ts_hl1_step,cycles_ts_fc2_start,cycles_ts_fc2_wait,cycles_ts_hl2_step,cycles_ts_hl2_wait,cycles_ts_next,num_timesteps,cycles_per_timestep,hl1_size,hl2_size,history_length,latency_us,throughput_hz,energy_per_inference_uj,cycles_csv_path
bitshift-64-32-4,q_1_fc2_8,bitshift,Bitshift 64-32-4,35913,35913,0,44887,218,0,2953,3639,119,0.119,0.0,0.026,10.0,101.20433154539015,0.58,0.481,0.099,27.6,Medium,6267,1,22,5520,723,1,20,20,5240,20,200,20,20,276.0000,64,32,4,61.924226999999995,16148.76839722198,35.916051659999994,3_benchmarking_on_FPGA/results/bitshift-64-32-4/q_1_fc2_8/cycles.csv
bitshift-64-32-4,q_batch_size_1,bitshift,Bitshift 64-32-4,36439,36439,0,45269,226,0,3057,3639,7,0.121,0.0,0.017,10.0,101.22482032594392,0.569,0.471,0.099,27.6,Medium,3667,1,22,2920,723,1,20,20,2640,20,200,20,20,146.0000,64,32,4,36.226293,27604.259701648192,20.612760716999997,3_benchmarking_on_FPGA/results/bitshift-64-32-4/q_batch_size_1/cycles.csv
bitshift-64-32-4,reverse_case_neurons,bitshift,Bitshift 64-32-4,36611,36611,0,45908,232,0,3081,3449,7,0.072,0.0,0.045,10.0,100.7252215954875,0.918,0.818,0.1,29.2,Medium,3187,1,22,2920,243,1,20,20,2640,20,200,20,20,146.0000,64,32,4,31.640536000000004,31605.027171473954,29.046012048000005,3_benchmarking_on_FPGA/results/bitshift-64-32-4/reverse_case_neurons/cycles.csv
lif-32-32,baseline,lif,LIF 32-32,12560,12560,0,21492,104,0,1030,1666,3,0.005,0.0,0.027,10.0,100.05002501250627,0.358,0.26,0.098,26.6,Medium,857,1,12,720,123,1,10,10,680,10,0,10,10,72.0000,32,32,1,8.565714999999999,116744.48659568992,3.0665259699999994,3_benchmarking_on_FPGA/results/lif-32-32/baseline/cycles.csv
lif-32-32,buffer_bram,lif,LIF 32-32,12549,12549,0,21532,104,0,1030,1666,3,0.015,0.0,0.036,10.0,100.15022533800702,0.357,0.259,0.098,26.6,Medium,857,1,12,720,123,1,10,10,680,10,0,10,10,72.0000,32,32,1,8.557144999999998,116861.40646208522,3.0549007649999993,3_benchmarking_on_FPGA/results/lif-32-32/buffer_bram/cycles.csv
lif-32-32,buffer_lutram,lif,LIF 32-32,12549,12549,0,21532,104,0,1030,1666,3,0.015,0.0,0.036,10.0,100.15022533800702,0.357,0.259,0.098,26.6,Medium,857,1,12,720,123,1,10,10,680,10,0,10,10,72.0000,32,32,1,8.557144999999998,116861.40646208522,3.0549007649999993,3_benchmarking_on_FPGA/results/lif-32-32/buffer_lutram/cycles.csv
lif-32-32,fc1_8,lif,LIF 32-32,12059,12059,0,21161,96,0,935,1666,3,-0.002,-0.002,0.039,10.0,99.98000399920015,0.341,0.243,0.098,26.6,Medium,867,1,22,720,123,1,10,10,680,10,0,10,10,72.0000,32,32,1,8.671734,115317.19031049614,2.9570612940000003,3_benchmarking_on_FPGA/results/lif-32-32/fc1_8/cycles.csv
lif-32-32,fc2_8,lif,LIF 32-32,12098,12098,0,21140,96,0,944,1855,99,-0.117,-0.117,0.046,10.0,98.84353069091627,0.337,0.239,0.098,26.5,Medium,1517,1,12,1380,123,1,10,10,1340,10,0,10,10,138.0000,32,32,1,15.347489000000001,65157.23842512609,5.172103793000001,3_benchmarking_on_FPGA/results/lif-32-32/fc2_8/cycles.csv
lif-32-32,q_1_fc2_8,lif,LIF 32-32,11844,11844,0,20883,90,0,920,1855,99,0.06,0.0,0.005,10.0,100.6036217303823,0.307,0.209,0.098,26.4,Medium,1757,1,12,1380,363,1,10,10,1340,10,0,10,10,138.0000,32,32,1,17.464579999999998,57258.748850530625,5.361626059999999,3_benchmarking_on_FPGA/results/lif-32-32/q_1_fc2_8/cycles.csv
lif-32-32,q_batch_size_1,lif,LIF 32-32,12263,12263,0,21191,98,0,1006,1666,3,-0.071,-0.121,0.039,10.0,99.2950054612253,0.32,0.222,0.098,26.5,Medium,1097,1,12,720,363,1,10,10,680,10,0,10,10,72.0000,32,32,1,11.047887,90515.04599929381,3.5353238399999998,3_benchmarking_on_FPGA/results/lif-32-32/q_batch_size_1/cycles.csv
