seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,458.12,338.17,367.82941798941795,,1500
43,486.99,433.23,467.8832275132275,,1500
44,493.07,474.68,375.77767195767194,,1500
45,306.46,270.23,223.67021164021162,,1500
46,500.0,470.56,456.4574074074074,,1500
47,496.98,494.69,484.3713756613757,1119,1500
48,500.0,500.0,499.84814814814814,869,1500
49,473.1,473.1,357.2326455026455,,1500
50,500.0,349.52,378.3029100529101,,1500
51,466.57,438.76,428.14243386243385,,1500
52,465.87,440.85,365.00132275132273,,1500
53,500.0,490.65,483.3468783068783,1355,1500
54,440.66,438.22,290.3331216931217,,1500
55,500.0,468.48,465.28899470899466,,1500
56,500.0,485.71,489.91603174603176,1219,1500
57,500.0,493.81,468.28962962962964,1355,1500
58,496.7,447.07,480.2194708994709,,1500
59,500.0,394.53,439.37666666666667,,1500
60,474.4,435.05,426.2851851851851,,1500
61,474.73,337.15,265.04915343915343,,1500
