episode,episode_steps,running_avg_100,avg_loss
0,16,16.0000,0.0
1,15,15.5000,0.0
2,35,22.0000,0.0
3,14,20.0000,0.0
4,31,22.2000,0.0
5,27,23.0000,0.0
6,10,21.1429,0.0
7,13,20.1250,0.0
8,18,19.8889,0.0
9,16,19.5000,0.0
10,35,20.9091,0.0
11,14,20.3333,0.0
12,25,20.6923,0.4835272069488253
13,39,22.0000,0.3344576205962744
14,13,21.4000,0.24196339226686037
15,31,22.0000,0.1906722173575432
16,14,21.5294,0.14911443314382009
17,13,21.0556,0.13256772550252768
18,17,20.8421,0.11989059299230576
19,19,20.7500,0.10896304328190654
20,40,21.6667,0.10197832435369492
21,19,21.5455,0.10385061486771233
22,12,21.1304,0.10254234758516152
23,17,20.9583,0.10455344310578178
24,15,20.7200,0.10210753281911214
25,35,21.2692,0.10811602941581182
26,16,21.0741,0.10817900160327554
27,12,20.7500,0.10505299145976703
28,12,20.4483,0.1078119973341624
29,12,20.1667,0.13026613804201284
30,25,20.3226,0.12587194561958312
31,20,20.3125,0.13023326434195043
32,23,20.3939,0.13354139094767364
33,10,20.0882,0.12749192342162133
34,9,19.7714,0.1439500136507882
35,11,19.5278,0.13504854860630902
36,15,19.4054,0.14667599399884543
37,21,19.4474,0.160559387079307
38,13,19.2821,0.16800208733632013
39,18,19.2500,0.17086236965325144
40,22,19.3171,0.16919247704473409
41,16,19.2381,0.18770888540893793
42,18,19.2093,0.18685223741663826
43,18,19.1818,0.1937122725778156
44,15,19.0889,0.20454055368900298
45,17,19.0435,0.19824187282253714
46,18,19.0213,0.20357058031691444
47,10,18.8333,0.2162523239850998
48,18,18.8163,0.21300340278281105
49,26,18.9600,0.22856187304625145
50,15,18.8824,0.25300414661566417
51,12,18.7500,0.2608066275715828
52,17,18.7170,0.2284600489279803
53,14,18.6296,0.262147602226053
54,11,18.4909,0.23898395083167337
55,21,18.5357,0.25325599774008706
56,14,18.4561,0.2791328951716423
57,10,18.3103,0.26082640141248703
58,14,18.2373,0.2876037635973522
59,25,18.3500,0.2976269268989563
60,17,18.3279,0.29810204050120187
61,11,18.2097,0.268091005357829
62,12,18.1111,0.301171629379193
63,17,18.0938,0.30591920018196106
64,12,18.0000,0.3074181067446868
65,16,17.9697,0.31071837246418
66,16,17.9403,0.3179577197879553
67,11,17.8382,0.3216127726164731
68,27,17.9710,0.3397027756328936
69,22,18.0286,0.33634517138654535
70,13,17.9577,0.33951945259020877
71,17,17.9444,0.3536939559613957
72,17,17.9315,0.3943327595205868
73,11,17.8378,0.38454641672697937
74,18,17.8400,0.39408837589952683
75,13,17.7763,0.38442230224609375
76,17,17.7662,0.35623761836220236
77,18,17.7692,0.4005667832162645
78,21,17.8101,0.3861552909726188
79,15,17.7750,0.41412501931190493
80,16,17.7531,0.38329414557665586
81,21,17.7927,0.4338501024813879
82,11,17.7108,0.41182444312355737
83,16,17.6905,0.4500669650733471
84,18,17.6941,0.4453641192780601
85,13,17.6395,0.45183262687463027
86,21,17.6782,0.4390821740740821
87,17,17.6705,0.43792250314179587
88,36,17.8764,0.41985073023372227
89,15,17.8444,0.5187585532665253
90,15,17.8132,0.4931456724802653
91,47,18.1304,0.47862250056672606
92,17,18.1183,0.48289672592106986
93,21,18.1489,0.5129939289320082
94,13,18.0947,0.44863828787436855
95,51,18.4375,0.44949209222606584
96,18,18.4330,0.45936186114947003
97,21,18.4592,0.4844467050972439
98,19,18.4646,0.4790815852190319
99,10,18.3800,0.552583760023117
100,20,18.4200,0.5000070765614509
101,9,18.3600,0.5681419041421678
102,20,18.2100,0.5643187910318375
103,9,18.1600,0.5677417483594682
104,11,17.9600,0.5443045117638328
105,10,17.7900,0.5862292170524597
106,14,17.8300,0.608104041644505
107,21,17.9100,0.5433970334984007
108,13,17.8600,0.5927905279856461
109,10,17.8000,0.5460947722196579
110,10,17.5500,0.5819208413362503
111,12,17.5300,0.5932501430312792
112,11,17.3900,0.5359931669451974
113,10,17.1000,0.6055950164794922
114,13,17.1000,0.6299057442408341
115,12,16.9100,0.6200615962346395
116,11,16.8800,0.651911735534668
117,14,16.8900,0.6353290506771633
118,13,16.8500,0.6456572459294245
119,11,16.7700,0.6679409173401919
120,9,16.4600,0.5660683777597215
121,11,16.3800,0.6907976432280107
122,10,16.3600,0.6310958802700043
123,12,16.3100,0.6378935823837916
124,10,16.2600,0.6385200679302215
125,12,16.0300,0.6313989634315172
126,12,15.9900,0.6239816347757975
127,11,15.9800,0.583227501674132
128,11,15.9700,0.6785835271531885
129,19,16.0400,0.6711302383949882
130,13,15.9200,0.6260396723563855
131,12,15.8400,0.7277113695939382
132,10,15.7100,0.7150979042053223
133,12,15.7300,0.7033325806260109
134,10,15.7400,0.7460448622703553
135,11,15.7400,0.7082399563355879
136,9,15.6800,0.6812990274694231
137,8,15.5500,0.7165651321411133
138,10,15.5200,0.727281105518341
139,11,15.4500,0.7326854521578009
140,16,15.3900,0.7226059101521969
141,19,15.4200,0.6967640691681912
142,10,15.3400,0.7002906560897827
143,12,15.2800,0.7753191788991293
144,12,15.2500,0.7266104891896248
145,14,15.2200,0.8543925072465625
146,11,15.1500,0.7592847780747847
147,10,15.1500,0.6421333879232407
148,26,15.2300,0.7954301467308631
149,12,15.0900,0.8147136916716894
150,13,15.0700,0.744269467317141
151,18,15.1300,0.7624323268731436
152,19,15.1500,0.8065793545622575
153,13,15.1400,0.8602436184883118
154,14,15.1700,0.8521579205989838
155,15,15.1100,0.7737749914328257
156,14,15.1100,0.8035508947713035
157,22,15.2300,0.7858268185095354
158,16,15.2500,0.837047167122364
159,11,15.1100,0.7898243503137068
160,15,15.0900,0.8177041053771973
161,20,15.1800,0.7648017764091491
162,12,15.1800,0.824171910683314
163,20,15.2100,0.7930263489484787
164,16,15.2500,0.8776481188833714
165,14,15.2300,0.980528005531856
166,21,15.2800,0.8644467620622545
167,16,15.3300,0.8763376269489527
168,25,15.3100,0.8605782854557037
169,20,15.2900,0.9032573074102401
170,29,15.4500,0.9198803572819151
171,14,15.4200,0.8495884239673615
172,22,15.4700,0.820218484510075
173,73,16.0900,0.8906175845289883
174,118,17.0900,0.8591486629793199
175,147,18.4300,0.8341867321608017
176,77,19.0300,0.9076951490594195
177,182,20.6700,0.8707002219590512
178,121,21.6700,0.8646816606363974
179,213,23.6500,0.8358212576505724
180,94,24.4300,0.8159829546162423
181,76,24.9800,0.8659663357232746
182,103,25.9000,0.8284454880987556
183,131,27.0500,0.8114250677687521
184,268,29.5500,0.8190166056156158
185,124,30.6600,0.7816220303216288
186,114,31.5900,0.8268800712468332
187,88,32.3000,0.8468187278644606
188,152,33.4600,0.8757017837151101
189,136,34.6700,0.828312854446909
190,90,35.4200,0.8037818372249603
191,119,36.1400,0.8654322987344084
192,94,36.9100,0.8242365632285463
193,84,37.5400,0.8383752512080329
194,87,38.2800,0.8112987714937363
195,92,38.6900,0.7967485617036405
196,90,39.4100,0.8041507714324527
197,105,40.2500,0.8393948796249572
198,148,41.5400,0.8250262532886621
199,102,42.4600,0.8304849015731438
200,88,43.1400,0.8364259245043452
201,118,44.2300,0.8315903236300258
202,108,45.1100,0.7906170368746475
203,105,46.0700,0.8173094928264618
204,99,46.9500,0.8462989510911884
205,118,48.0300,0.8623469820467092
206,159,49.4800,0.8494422610075969
207,161,50.8800,0.7817322161997328
208,162,52.3700,0.8530921011611268
209,166,53.9300,0.8313407704054591
210,164,55.4700,0.831117022146539
211,246,57.8100,0.8415863537570325
212,233,60.0300,0.8272454494314644
213,233,62.2600,0.7793028920633087
214,221,64.3400,0.8242958366061768
215,135,65.5700,0.8168537184044167
216,204,67.5000,0.8022631615692494
217,118,68.5400,0.8234168394642362
218,423,72.6400,0.8084183037985583
219,121,73.7400,0.8089856266482802
220,298,76.6300,0.8249203044696142
221,210,78.6200,0.7596825479041962
222,171,80.2300,0.7484483705800876
223,190,82.0100,0.7675848778141172
224,211,84.0200,0.7371115966995746
225,172,85.6200,0.6982876139498034
226,215,87.6500,0.6626289489310841
227,196,89.5000,0.6703312256354459
228,229,91.6800,0.6533853010839771
229,186,93.3500,0.5909003260475333
230,172,94.9400,0.5451466121905765
231,187,96.6900,0.5075062369917803
232,190,98.4900,0.5011015405388255
233,207,100.4400,0.4202321745491258
234,181,102.1500,0.3789038234158774
235,194,103.9800,0.3319411000102451
236,270,106.5900,0.279961441250311
237,229,108.8000,0.28585840677069785
238,133,110.0300,0.3078728043159148
239,156,111.4800,0.27738829384534025
240,179,113.1100,0.29997924627871486
241,423,117.1500,0.272906005585095
242,500,122.0500,0.2703307236209512
243,345,125.3800,0.2545238343701846
244,150,126.7600,0.2332501819729805
245,233,128.9500,0.24839556245972672
246,204,130.8800,0.2433545753798064
247,182,132.6000,0.22372755508583325
248,182,134.1600,0.2585949716004696
249,182,135.8600,0.24364084328760158
250,154,137.2700,0.23115645155504153
251,347,140.5600,0.21649846095344863
252,160,141.9700,0.22717666996177285
253,136,143.2000,0.23990452892201788
254,128,144.3400,0.23193393973633647
255,184,146.0300,0.21725507819539178
256,150,147.3900,0.205902564873298
257,122,148.3900,0.2293027011891369
258,142,149.6500,0.21510174922959904
259,124,150.7800,0.2268230785285273
260,138,152.0100,0.2155749051143294
261,136,153.1700,0.22869684207527077
262,101,154.0600,0.23169583299815064
263,107,154.9300,0.21024522244512478
264,158,156.3500,0.2302087950225495
265,127,157.4800,0.2295052484557854
266,122,158.4900,0.22279040747490086
267,157,159.9000,0.24128799332649845
268,178,161.4300,0.22223218647616633
269,151,162.7400,0.23082753421356347
270,173,164.1800,0.24032926288126522
271,189,165.9300,0.236878817556081
272,185,167.5600,0.21871270990452252
273,157,168.4000,0.24959525461219678
274,153,168.7500,0.251327165883351
275,141,168.6900,0.22739271412715845
