cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
48,401,2,230,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,414,13,-3113,7891,3273,7030,5684,7102,6820,7434,7475,7798,7923,8131,8266,,,,,,,,,,,,,,,,,,,,,,,,
50,416,2,230,8549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,429,13,-3113,7890,3273,7029,5683,7102,6819,7434,7474,7798,7922,8131,8265,,,,,,,,,,,,,,,,,,,,,,,,
52,431,2,230,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,444,13,-3114,7890,3272,7029,5683,7101,6819,7433,7474,7797,7922,8130,8265,,,,,,,,,,,,,,,,,,,,,,,,
54,446,2,229,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,459,13,-3115,7890,3272,7029,5682,7101,6818,7433,7473,7797,7921,8130,8265,,,,,,,,,,,,,,,,,,,,,,,,
56,461,2,229,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,474,13,-3115,7888,3271,7028,5681,7101,6818,7433,7473,7797,7921,8130,8264,,,,,,,,,,,,,,,,,,,,,,,,
58,476,2,228,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,489,13,-3115,7888,3271,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
60,491,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,504,13,-3116,7888,3270,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
62,506,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,519,13,-3116,7887,3270,7028,5681,7101,6817,7433,7473,7796,7921,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
64,521,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,534,13,-3116,7887,3270,7028,5681,7101,6817,7433,7472,7796,7920,8129,8264,,,,,,,,,,,,,,,,,,,,,,,,
66,536,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,549,13,-3116,7887,3270,7028,5681,7101,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
68,551,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,564,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
70,566,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,579,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
72,581,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,594,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
74,596,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,609,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
76,611,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,624,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
78,626,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,639,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
80,641,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
