cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
21,204,535110.0,14,constant,-3181,7820,3201,6957,5609,7028,6743,7359,7396,7721,7843,8052,8187,8343,,,,,,,,,,,,,,,,,,,,,,,
22,206,540330.0,2,constant,278,8597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,219,574260.0,13,constant,-3078,7921,3295,7048,5695,7112,6823,7437,7472,7794,7915,8121,8254,,,,,,,,,,,,,,,,,,,,,,,,
24,221,579480.0,2,constant,217,8534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,234,613410.0,13,constant,-3129,7873,3254,7011,5663,7083,6798,7415,7454,7778,7901,8110,8246,,,,,,,,,,,,,,,,,,,,,,,,
26,236,618630.0,2,constant,209,8528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,249,652560.0,13,constant,-3133,7871,3254,7012,5666,7086,6804,7420,7461,7786,7910,8120,8254,,,,,,,,,,,,,,,,,,,,,,,,
28,251,657780.0,2,constant,221,8538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,264,691710.0,13,constant,-3121,7881,3266,7023,5679,7098,6817,7432,7474,7798,7923,8132,8268,,,,,,,,,,,,,,,,,,,,,,,,
30,266,696930.0,2,constant,232,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,279,730860.0,13,constant,-3111,7892,3274,7032,5686,7105,6822,7439,7478,7803,7927,8136,8271,,,,,,,,,,,,,,,,,,,,,,,,
32,281,736080.0,2,constant,235,8553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,294,770010.0,13,constant,-3109,7894,3276,7034,5687,7107,6823,7440,7478,7803,7926,8135,8270,,,,,,,,,,,,,,,,,,,,,,,,
34,296,775230.0,2,constant,234,8552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,309,809160.0,13,constant,-3110,7894,3276,7033,5687,7106,6823,7439,7478,7803,7927,8136,8270,,,,,,,,,,,,,,,,,,,,,,,,
