cycle_num,spike_step,spike_time_ns,cycle_length,phase,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
175,1359,3549660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
176,1361,3554880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1374,3588810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
178,1376,3594030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1389,3627960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
180,1391,3633180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1404,3667110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
182,1406,3672330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1419,3706260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
184,1421,3711480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1434,3745410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
186,1436,3750630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1449,3784560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
188,1451,3789780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1464,3823710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
190,1466,3828930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1479,3862860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
192,1481,3868080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1494,3902010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
194,1496,3907230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1509,3941160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
196,1511,3946380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1524,3980310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
198,1526,3985530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1539,4019460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
200,1541,4024680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1554,4058610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
202,1556,4063830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1569,4097760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
204,1571,4102980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1584,4136910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
206,1586,4142130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1599,4176060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
208,1601,4181280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1614,4215210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
210,1616,4220430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1629,4254360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
212,1631,4259580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1644,4293510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
214,1646,4298730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1659,4332660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
216,1661,4337880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1674,4371810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
218,1676,4377030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1689,4410960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
220,1691,4416180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1704,4450110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
222,1706,4455330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1719,4489260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
224,1721,4494480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1734,4528410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
226,1736,4533630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1749,4567560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
228,1751,4572780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1764,4606710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
230,1766,4611930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1779,4645860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
232,1781,4651080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1794,4685010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
234,1796,4690230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1809,4724160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
236,1811,4729380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1824,4763310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
238,1826,4768530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1839,4802460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
240,1841,4807680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1854,4841610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
242,1856,4846830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1869,4880760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
244,1871,4885980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1884,4919910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
246,1886,4925130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1899,4959060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
248,1901,4964280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1914,4998210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
250,1916,5003430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1929,5037360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
252,1931,5042580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1944,5076510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
254,1946,5081730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1959,5115660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
256,1961,5120880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1974,5154810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
258,1976,5160030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1989,5193960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
260,1991,5199180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2004,5233110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
262,2006,5238330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2019,5272260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
264,2021,5277480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2034,5311410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
266,2036,5316630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2049,5350560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
268,2051,5355780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2064,5389710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
270,2066,5394930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2079,5428860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
272,2081,5434080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2094,5468010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
274,2096,5473230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2109,5507160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
276,2111,5512380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2124,5546310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
278,2126,5551530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2139,5585460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
280,2141,5590680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2154,5624610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
282,2156,5629830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2169,5663760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
284,2171,5668980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2184,5702910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
286,2186,5708130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2199,5742060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
288,2201,5747280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2214,5781210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
290,2216,5786430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2229,5820360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
292,2231,5825580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2244,5859510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
294,2246,5864730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2259,5898660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
296,2261,5903880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2274,5937810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
298,2276,5943030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2289,5976960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
300,2291,5982180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2304,6016110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
302,2306,6021330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2319,6055260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
304,2321,6060480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2334,6094410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
306,2336,6099630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2349,6133560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
308,2351,6138780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2364,6172710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
310,2366,6177930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2379,6211860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
312,2381,6217080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2394,6251010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
314,2396,6256230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2409,6290160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
316,2411,6295380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2424,6329310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
318,2426,6334530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2439,6368460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
320,2441,6373680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2454,6407610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
322,2456,6412830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2469,6446760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
324,2471,6451980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2484,6485910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
326,2486,6491130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2499,6525060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
328,2501,6530280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2514,6564210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
330,2516,6569430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2529,6603360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
332,2531,6608580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2544,6642510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
334,2546,6647730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2559,6681660.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
336,2561,6686880.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2574,6720810.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
338,2576,6726030.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2589,6759960.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
340,2591,6765180.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2604,6799110.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
342,2606,6804330.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2619,6838260.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
344,2621,6843480.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2634,6877410.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
346,2636,6882630.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2649,6916560.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
348,2651,6921780.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2664,6955710.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
350,2666,6960930.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2679,6994860.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
352,2681,7000080.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2694,7034010.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
354,2696,7039230.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2709,7073160.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
356,2711,7078380.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2724,7112310.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
358,2726,7117530.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2739,7151460.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
360,2741,7156680.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2754,7190610.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
362,2756,7195830.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2769,7229760.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
364,2771,7234980.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2784,7268910.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
366,2786,7274130.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2799,7308060.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
368,2801,7313280.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2814,7347210.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
370,2816,7352430.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2829,7386360.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
372,2831,7391580.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,2844,7425510.0,13,constant,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
374,2846,7430730.0,2,constant,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
