seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,500.0,212.11,365.24253968253964,,1500
43,500.0,497.96,481.5642857142857,1475,1500
44,477.26,89.53,391.00174603174605,,1500
45,500.0,432.13,437.5440740740741,,1500
46,493.41,308.22,237.03814814814814,,1500
47,500.0,285.53,315.3307936507936,,1500
48,496.6,468.41,431.25502645502644,,1500
49,468.96,176.33,135.53216931216932,,1500
50,454.04,119.91,250.62783068783068,,1500
51,459.07,217.97,206.0090476190476,,1500
