episode,episode_steps,running_avg_100,avg_loss
0,27,27.0000,0.0
1,17,22.0000,0.0
2,30,24.6667,0.5076012557203119
3,12,21.5000,0.4695640131831169
4,24,22.0000,0.414347343146801
5,18,21.3333,0.34801194568475086
6,15,20.4286,0.30292966167132057
7,19,20.2500,0.2579067129837839
8,15,19.6667,0.2209535260995229
9,12,18.9000,0.1889517828822136
10,13,18.3636,0.16966658257521117
11,12,17.8333,0.14778905361890793
12,21,18.0769,0.12827275019316448
13,20,18.2143,0.1105466790497303
14,26,18.7333,0.09716241090343548
15,22,18.9375,0.08271715112707832
16,24,19.2353,0.06921646899233262
17,15,19.0000,0.0598304291566213
18,49,20.5789,0.0505230540827829
19,22,20.6500,0.04215149412100965
20,16,20.4286,0.04220096138305962
21,20,20.4091,0.034274212922900914
22,9,19.9130,0.03882536312772168
23,11,19.5417,0.03721143627031283
24,12,19.2400,0.03581306586662928
25,11,18.9231,0.03336661359803243
26,12,18.6667,0.033928054850548506
27,18,18.6429,0.03375854498396317
28,14,18.4828,0.033044429895068915
29,15,18.3667,0.03394758850336075
30,23,18.5161,0.03768970825425957
31,22,18.6250,0.039545601572502746
32,13,18.4545,0.03684994707313868
33,15,18.3529,0.041364730894565584
34,9,18.0857,0.03820528835058212
35,28,18.3611,0.04620861381824527
36,11,18.1622,0.05729071423411369
37,14,18.0526,0.05801846379680293
38,19,18.0769,0.05922094477634681
39,16,18.0250,0.05679429555311799
40,18,18.0244,0.06438374105427
41,13,17.9048,0.063833080088863
42,12,17.7674,0.05984154809266329
43,17,17.7500,0.05927732729298227
44,13,17.6444,0.06569922457520778
45,20,17.6957,0.06815639901906252
46,17,17.6809,0.056475386297439825
47,13,17.5833,0.07809722853394654
48,13,17.4898,0.06709792665564097
49,9,17.3200,0.07865729514095518
50,14,17.2549,0.08083214743861131
51,14,17.1923,0.07562410964497499
52,14,17.1321,0.08958156406879425
53,11,17.0185,0.07332052544436672
54,15,16.9818,0.07876358156402906
55,10,16.8571,0.07839166279882193
56,13,16.7895,0.08281120457328282
57,14,16.7414,0.07682810750390802
58,13,16.6780,0.09305201671444453
59,10,16.5667,0.09229710921645165
60,13,16.5082,0.0962046218606142
61,28,16.6935,0.09296935996306795
62,16,16.6825,0.0952191783580929
63,9,16.5625,0.12990603513187832
64,11,16.4769,0.10929021577943455
65,17,16.4848,0.10683440986801596
66,15,16.4627,0.11216624652345976
67,12,16.3971,0.10364951107961436
68,14,16.3623,0.10324614661346589
69,12,16.3000,0.11671370454132557
70,11,16.2254,0.0855121256952936
71,10,16.1389,0.1360825438052416
72,13,16.0959,0.10380253081138317
73,13,16.0541,0.13210096955299377
74,13,16.0133,0.11832269367117149
75,15,16.0000,0.1260907324651877
76,15,15.9870,0.12197083855668704
77,15,15.9744,0.1354095806678136
78,10,15.8987,0.11457666121423245
79,10,15.8250,0.13462478592991828
80,16,15.8272,0.12311871396377683
81,11,15.7683,0.11687151952223344
82,17,15.7831,0.13090841757024035
83,19,15.8214,0.14898438045853063
84,16,15.8235,0.1428720667026937
85,12,15.7791,0.1496616154909134
86,12,15.7356,0.13258617091923952
87,11,15.6818,0.14662506228143518
88,16,15.6854,0.1280491715297103
89,10,15.6222,0.1390785478055477
90,13,15.5934,0.15797155092541987
91,10,15.5326,0.15136395655572416
92,13,15.5054,0.14138526985278496
93,11,15.4574,0.14887248013507237
94,16,15.4632,0.15791777800768614
95,14,15.4479,0.15554093143769673
96,21,15.5052,0.13216435581090905
97,13,15.4796,0.11333884069552788
98,13,15.4545,0.1669323667883873
99,15,15.4500,0.1572122260928154
100,15,15.3300,0.14490797743201256
101,26,15.4200,0.1892356351017952
102,16,15.2800,0.1624301364645362
103,10,15.2600,0.15506451576948166
104,14,15.1600,0.19393243959971837
105,16,15.1400,0.16326910816133022
106,14,15.1300,0.16440811912928308
107,12,15.0600,0.1742288377135992
108,13,15.0400,0.152449846554261
109,29,15.2100,0.16230375949164916
110,20,15.2800,0.1706873532384634
111,15,15.3100,0.17469588816165924
112,14,15.2400,0.15969087609222957
113,14,15.1800,0.1416687449174268
114,12,15.0400,0.16202990524470806
115,43,15.2500,0.18073908118314522
116,13,15.1400,0.14465561165259436
117,18,15.1700,0.1656665684034427
118,17,14.8500,0.1673327480607173
119,16,14.7900,0.1865147207863629
120,18,14.8100,0.19019306616650689
121,21,14.8200,0.18562080427294686
122,14,14.8700,0.18557758735758917
123,11,14.8700,0.16259357265450738
124,28,15.0300,0.18442221897255098
125,10,15.0200,0.1917248699814081
126,20,15.1000,0.202420287206769
127,13,15.0500,0.15926114168877786
128,81,15.7200,0.1978050154392366
129,17,15.7400,0.22206767867593205
130,15,15.6600,0.204425481458505
131,109,16.5300,0.18878768052939976
132,194,18.3400,0.19633157111550728
133,23,18.4200,0.17152771904416705
134,59,18.9200,0.1917858549977763
